key,value,,,
Eugène Atget,5050,,,
Louise Bourgeois,3336,,,
Unidentified photographer,2738,,,
Ludwig Mies van der Rohe,2657,,,
Jean Dubuffet,1435,,,
Lee Friedlander,1320,,,
Pablo Picasso,1310,,,
Ellsworth Kelly,1232,,,
Marc Chagall,1161,,,
Henri Matisse,1064,,,
Pierre Bonnard,901,,,
Frank Lloyd Wright,878,,,
Lilly Reich,823,,,
George Maciunas,821,,,
August Sander,750,,,
Ben Kinmont,665,,,
Georges Rouault,631,,,
Émile Bernard,630,,,
Sol LeWitt,620,,,
Aristide Maillol,579,,,
André Derain,571,,,
Raoul Dufy,545,,,
Maurice Denis,504,,,
Joan Miró,489,,,
Frédéric Bruly Bouabré,482,,,
Dorothea Lange,480,,,
Pierre Alechinsky,428,,,
Jan Dibbets,427,,,
Jasper Johns,426,,,
Various Artists,408,,,
Jim Dine,402,,,
Album-miscellaneous,385,,,
Walker Evans,363,,,
Garry Winogrand,359,,,
Jules Pascin,350,,,
Robert Rauschenberg,337,,,
Pope.L,325,,,
Thomas Bewick,324,,,
Ben Vautier,307,,,
Henri Cartier-Bresson,306,,,
André Masson,305,,,
"John Jensen, Jerry Lewis",302,,,
Edward Steichen,299,,,
Christian Boltanski,297,,,
Odilon Redon,296,,,
Alexander Calder,293,,,
Josef Albers,291,,,
Ansel Adams,288,,,
José Antonio Suárez Londoño,288,,,
Alighiero Boetti,283,,,
André Dunoyer de Segonzac,273,,,
Thomas Schütte,270,,,
Robert Motherwell,267,,,
Eduardo Paolozzi,265,,,
John Thomson,264,,,
Leonard Baskin,263,,,
Edward Weston,258,,,
Antonio Frasconi,257,,,
Aleksandr Rodchenko,256,,,
Jacques Villon,253,,,
Andy Warhol,249,,,
Harry Callahan,247,,,
Max Ernst,242,,,
Robert Watts,242,,,
Edward Ruscha,238,,,
David Hockney,237,,,
Elaine Lustig Cohen,235,,,
George Grosz,234,,,
Martin Kippenberger,233,,,
Raymond Pettibon,228,,,
León Ferrari,228,,,
Henri de Toulouse-Lautrec,226,,,
František Kupka,226,,,
Fernand Léger,225,,,
Lyonel Feininger,224,,,
Michael Schmidt,224,,,
George Brecht,223,,,
Marcel Duchamp,221,,,
Max Beckmann,220,,,
William Eggleston,219,,,
Jean (Hans) Arp,218,,,
Eadweard J. Muybridge,214,,,
Marianne Wex,214,,,
Roberto Matta,213,,,
Nicholas Nixon,213,,,
Olga Rozanova,211,,,
Roman Signer,207,,,
Robert Frank,205,,,
Sophie Calle,203,,,
Frans Masereel,201,,,
E. McKnight Kauffer,200,,,
Stephen Shore,199,,,
Anni Albers,198,,,
José-Guadalupe Posada,197,,,
Francis Alÿs,196,,,
Dieter Roth,192,,,
Man Ray (Emmanuel Radnitzky),190,,,
Lovis Corinth,189,,,
Richard Tuttle,189,,,